Screen_id,Avg_Time
RadioStill,32.2
PVRBannerGui,38.17
RecListGUI,50.6
AlarmPopupGUI,0.0
Gui[12],144.75
BadServiceGUI-Still,12.0
UccsDigitalOnlyTokenGui-Still,709.5
MatteGUI,48.33
InfoBoxGUI,10.25
InviteGUI-Still,15.25
StandbyGUI,0.67
AppGUI,11.67
LaunchpadGUI,4.75
VolumeGUI,0.0
MainMenuGUI,44.8
GridBoxGUI,140.6
GSportsBarGUI,0.67
UpdatePopupGUI,11.0
ViewingGUI,0.0
HINWEISGUI,1.33
PvrWarningMsgGUI,28.0
PinCodeGUI-Still,34.25
SetupStill,0.33
SetupGUI,2.4
PVRInstantRecGui,5.8
SignalQualityGUI-Still,39.0
