GUI,Priority
PvrWarningMsgGUI,0.0467
SignalQualityGUI-Still,0.019
HINWEISGUI,0.0074
SetupStill,0.0057
GSportsBarGUI,0.0045
InfoBoxGUI,0.0038
Gui[12],0.0035
VolumeGUI,0.0035
StandbyGUI,0.0035
AlarmPopupGUI,0.0024
UpdatePopupGUI,0.0021
RadioStill,0.0018
RecListGUI,0.0016
GridBoxGUI,0.0014
PVRInstantRecGui,0.0013
MainMenuGUI,0.0011
AppGUI,0.0011
ViewingGUI,0.0011
LaunchpadGUI,0.001
SetupGUI,0.0009
PinCodeGUI-Still,0.0006
InviteGUI-Still,0.0002
UccsDigitalOnlyTokenGui-Still,0.0
MatteGUI,0.0
BadServiceGUI-Still,0.0
PVRBannerGui,0.0
